Number,Label,Name,minimizedAffinity,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf_ahb,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
1,1,101,-6.255,-6.168,-0.411,-1.014,-1.663,-6.168,-1.835,-0.52,-1.97,-24.801,-8.068,0.608,0,-49.924,-32.869,4.412,38.0644,2.7232,28.2946,-4.499,0.9351,51.1045,3.2675,-42.6691,0.7097,-5.6498,-3.5149,-34.7785,0.2467,23.1178,23.334,0.0853,0.1309,-116.67,22.4597,0.2049,0.1324,-22.797,2.9795,104.4483,1.8964,-52.515739,-5.4812593,-110.86395,-10.115741,-31.806847,-8.4660425,-110.86754,-9.928256,-30.25205,-1.901878,-110.86754,-9.928256,-30.25205,-62.083706,-110.86754,-9.928256,-30.25205,-9.9828711,-110.86754,-9.928256,-30.25205
2,1,102,-6.948,-6.703,-0.394,-1.014,-1.749,-6.703,-2.109,-0.764,-1.72,-27.831,-9.165,0.656,0,-57.707,-36.996,4.223,65.1825,20.9068,35.1086,-5.4337,1.435,56.6307,4.3821,-44.9117,0.7559,-4.1767,-7.2198,-36.7281,0.5895,24.7364,25.418,0.0064,0.6752,-127.09,24.8966,0.1792,0.5759,-25.6517,3.8803,108.5965,2.1462,-57.169571,-6.2027392,-30.185163,-11.568391,-35.828667,-9.0629492,-30.301247,-10.90874,-35.620956,-2.9310691,-30.301247,-10.90874,-35.620956,-81.697914,-30.301247,-10.90874,-35.620956,-10.597939,-30.301247,-10.90874,-35.620956
3,1,103,-7.69,-5.987,-0.272,-0.763,-1.463,-5.987,-1.351,-0.127,-1.728,-33.299,-10.395,0.443,0,-69.128,-43.694,0.591,37.7467,4.2412,28.4744,-7.5028,1.856,59.4031,5.048,-43.0958,2.8389,-4.7441,-7.3256,-32.5175,0.2103,21.4945,26.17,0.3773,4.2982,-130.85,32.4634,0.1596,1.156,-33.779,6.0696,68.6041,0,-79.385826,-6.5592642,-70.632042,-11.570739,-41.31477,-10.57507,-70.7808,-11.247351,-40.277153,-5.2592959,-70.781036,-11.247351,-40.276447,-108.91441,-70.780823,-11.247351,-40.276718,-11.325987,-70.781609,-11.247351,-40.276146
4,1,104,-8.371,-4.798,-0.2,-0.577,-1.148,-4.798,-1.013,-0.001,-1.17,-26.161,-11.89,0.576,-0.098,-54.551,-38.052,2.147,36.169,3.574,35.8115,-6.7212,-9.9245,48.7586,2,-44.4689,2.1922,-5.213,-2,-37.0122,0.2531,18.2673,26.448,1.9568,6.2238,-132.24,27.4383,1.9314,3.8894,-33.2591,4.8311,121.3967,1,-54.895786,-6.3341203,-55.891983,-11.887237,-36.332348,-14.749956,-55.905472,-10.46599,-35.943256,-4.1451969,-55.905472,-10.46599,-35.943256,-88.718674,-55.905472,-10.46599,-35.943256,-10.499405,-55.905472,-10.46599,-35.943256
5,1,105,-6.362,-5.979,-0.315,-0.84,-1.516,-5.979,-2.114,-0.32,-1.458,-31.23,-7.561,0.611,-0.003,-54.624,-38.791,6.38,41.7171,12.6143,32.7233,-9.0976,-6.794,55.3437,4.975,-42.5275,2.5717,-7.6983,-6.5355,-28.4899,0.2943,20.9654,27.676,1.7142,4.9964,-138.38,33.4853,1.5785,2.4819,-37.5456,6.6189,85.1147,0,-67.803879,-5.9829955,-81.490364,-10.631269,-32.735397,-13.323453,-81.700005,-9.9904985,-32.921791,-4.2262321,-81.700005,-9.9904985,-32.921791,-92.234192,-81.700005,-9.9904985,-32.921791,-10.010636,-81.700005,-9.9904985,-32.921791
6,1,106,-7.078,-5.632,-0.296,-0.791,-1.428,-5.632,-1.61,-0.125,-1.763,-29.381,-8.169,0.56,0,-58.96,-37.55,0.227,52.591,13.3353,30.9356,-5.9465,2.6656,63.6252,5.9345,-46.7672,2.0896,-4.5138,-6.4421,-37.9378,0.5616,26.0356,29.85,0.0727,3.7416,-149.25,32.2673,0.0669,1.6525,-33.9866,4.3799,118.6119,0,-67.034767,-6.3183699,-63.120434,-12.335872,-38.453659,-9.6878853,-63.210243,-11.016031,-37.195908,-5.4970164,-63.210243,-11.016031,-37.195908,-87.670715,-63.210243,-11.016031,-37.195908,-10.940127,-63.210243,-11.016031,-37.195908
7,1,107,-8.911,-6.53,-0.327,-0.886,-1.634,-6.53,-1.708,-0.506,-1.571,-31.42,-11.275,0.577,-0.06,-63.486,-42.694,4.248,43.909,8.4621,31.7869,-10.2538,1.9938,57.1828,4.0667,-45.9204,1.9692,-6.2034,-7.346,-36.1698,2.5345,23.0946,27.02,0.1108,3.8146,-135.1,33.605,0.0519,1.773,-35.4298,4.9136,115.7138,0,-83.320076,-6.5158935,-60.734581,-10.740974,-34.390366,-14.762399,-60.634632,-10.731972,-32.461277,-4.1903577,-60.632198,-10.731972,-32.46368,-106.48949,-60.634567,-10.731972,-32.460121,-10.726828,-60.63512,-10.731972,-32.458649
8,1,108,-7.805,-6.305,-0.332,-0.885,-1.598,-6.305,-1.674,-0.145,-1.809,-31.63,-10.52,0.557,-0.074,-61.405,-42.149,5.156,38.7166,10.4386,30.134,-9.0444,-4.1118,55.0782,4.5643,-41.6881,1.5642,-5.531,-7.5619,-30.8248,0.546,23.5981,27.522,0.0089,3.915,-137.61,30.3171,0.3821,1.7458,-32.4449,4.0169,115.7991,0,-52.651768,-5.8609157,-71.900948,-11.301009,-32.837753,-10.928232,-71.924278,-10.369105,-32.110523,-3.4379818,-71.924278,-10.369105,-32.110523,-62.264805,-71.924278,-10.369105,-32.110523,-10.317382,-71.924278,-10.369105,-32.110523
9,1,109,-7.669,-6.342,-0.317,-0.861,-1.587,-6.342,-2.071,-0.588,-1.47,-31.422,-8.121,0.576,0,-55.72,-39.543,8.17,51.1996,12.8215,33.1194,-4.5315,-2.6296,56.7882,4.302,-44.612,1.9422,-8.0513,-5.0771,-32.6058,0.2241,23.5747,29.616,0.1743,5.867,-148.08,32.7377,0.2946,3.2979,-36.3302,5.524,105.9845,0,-66.060295,-5.9842114,-101.7938,-11.666483,-34.943829,-12.904709,-101.77052,-11.096805,-34.250782,-5.3844886,-101.77052,-11.096805,-34.250782,-89.56675,-101.77052,-11.096805,-34.250782,-11.03528,-101.77052,-11.096805,-34.250782
10,1,110,-7.181,-5.704,-0.3,-0.801,-1.446,-5.704,-1.836,-0.32,-1.707,-29.353,-7.252,0.714,0,-52.274,-36.605,3.361,28.3362,1.3809,24.7296,-5.0016,-2.0463,45.8397,2,-40.194,0.9795,-2.0646,-3,-35.7996,0.1757,22.371,26.732,0.0061,4.3549,-133.66,31.804,0.3132,1.4728,-33.59,4.2941,117.6735,0,-56.71072,-5.6166325,-87.794952,-10.445444,-30.809521,-11.04167,-87.816856,-9.8800793,-30.293388,-3.9800749,-87.816856,-9.8800793,-30.293388,-65.61821,-87.816856,-9.8800793,-30.293388,-9.865654,-87.816856,-9.8800793,-30.293388
