Number,Label,Name,minimizedAffinity,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf_ahb,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
1,1,CHEMBL1088912,-7.268,-6.061,-0.242,-0.7090000000000001,-1.4369999999999998,-6.061,-1.632,-0.36,-1.115,-31.671,-13.886,0.8340000000000001,-0.122,-66.682,-45.558,5.91,46.0518,10.2288,35.4728,-4.8671,-8.085,61.4141,2.0,-56.9957,1.0204,-7.6091,-2.0,-48.2332,0.3038,36.178,40.176,2.9445,1.0535,-200.88,26.6685,2.8497,0.5289,-30.0471,1.9956,201.5057,2.2165,-68.936752,-6.7128758,25.471102,-11.34457,-39.794146999999995,-15.478188000000001,25.369606,-11.109733,-38.371555,-4.0313573,25.368298,-11.109733,-38.368221000000005,-97.524559,25.369616,-11.109733,-38.371571,-11.145121000000001,25.368616,-11.109733,-38.369122
2,1,CHEMBL1088913,-7.397,-6.36,-0.245,-0.725,-1.494,-6.36,-1.391,-0.36,-1.089,-33.811,-16.805,0.931,-0.241,-75.407,-50.61600000000001,5.5920000000000005,37.5665,9.9896,33.2687,-6.8370000000000015,-11.3306,59.5795,2.6027,-54.1825,1.4726,-5.2054,-3.0,-46.5885,0.0336,34.5608,35.61,0.0515,0.9976,-178.05,25.6065,0.2903,0.5722,-26.469,0.9953,203.2913,2.3908,-80.135223,-6.818386099999999,33.230721,-10.856474,-37.986069,-18.282738000000002,33.432194,-10.711530999999999,-37.219852,-2.7958263999999997,33.432194,-10.711530999999999,-37.219852,-106.27261000000001,33.432194,-10.711530999999999,-37.219852,-10.659052,33.432194,-10.711530999999999,-37.219852
3,1,CHEMBL1088916,-7.362999999999999,-5.598,-0.2,-0.607,-1.2919999999999998,-5.598,-1.21,-0.36,-0.895,-34.986,-14.858,1.082,-0.237,-69.252,-49.844,7.705,38.8994,8.7713,32.9914,-5.7064,-9.5289,64.4656,3.0,-58.1844,1.8918,-7.8398,-2.0,-49.753,0.3456,32.979,36.17,0.1748,3.0162,-180.85,26.8105,0.1982,2.1146,-29.1233,2.9086,177.7731,2.684,-61.925301,-7.0907125,34.343014000000004,-11.210171,-38.993206,-21.516556,34.236216999999996,-12.248062,-35.708084,-3.3321862,34.236216999999996,-12.248062,-35.708084,-114.21383999999999,34.236216999999996,-12.248062,-35.708084,-12.226527,34.236216999999996,-12.248062,-35.708084
4,1,CHEMBL1089434,-9.058,-7.6560000000000015,-0.207,-0.69,-1.66,-7.6560000000000015,-2.924,-0.462,-0.154,-48.276,-14.114,0.679,-0.264,-94.922,-62.39,7.188,51.4497,0.0,46.5102,-5.2103,-7.2916,71.7422,0.0,-73.6133,1.8516,-8.3273,-1.0,-64.9618,0.0933,35.3419,39.186,0.0917,3.7524,-195.93,27.6747,0.1984,3.1317,-31.0048,1.9743,210.0615,2.2056,-111.27216000000001,-7.7688084,73.161491,-11.972579,-36.968146999999995,-25.442926,73.29894300000001,-14.169862,-34.728157,-6.2690902,73.29894300000001,-14.169862,-34.728157,-156.62622,73.29894300000001,-14.169862,-34.728157,-14.188379000000001,73.29894300000001,-14.169862,-34.728157
5,1,CHEMBL1089844,-7.366,-6.275,-0.241,-0.715,-1.474,-6.275,-1.962,-0.36,-1.086,-29.655,-14.181,0.941,-0.197,-63.674,-43.83600000000001,8.647,59.7692,15.995,40.8087,-5.2575,-7.0803,66.5761,3.0,-60.3777,1.5415,-6.8593,-3.0,-50.62600000000001,0.3948,32.8402,35.158,0.1489,2.1689,-175.79,27.1148,0.1525,1.5222,-28.7896,1.9689,190.7916,2.1833,-83.06594100000001,-6.5164557,4.6438899000000005,-11.9326,-33.863445,-19.596655,4.6131577,-11.563799000000001,-32.464058,-4.4493446,4.613157299999999,-11.563799000000001,-32.464062,-102.13150999999999,4.613157299999999,-11.563799000000001,-32.464062,-11.566332000000001,4.613157299999999,-11.563799000000001,-32.464062
6,1,CHEMBL1089845,-7.451,-5.831,-0.224,-0.664,-1.369,-5.831,-1.179,-0.509,-1.033,-29.315,-15.599,0.941,-0.244,-65.428,-44.914,6.586,47.8751,9.8266,36.0521,-1.6736,-9.8497,66.9608,2.992,-59.9101,1.4065,-7.1566,-3.0,-51.5118,0.3629,33.8756,35.632,0.0361,1.7203,-178.16,25.7569,0.0069,1.2748,-27.0386,1.7297,182.6543,2.1833,-95.664085,-6.340523200000001,1.2442677,-12.878898,-35.464703,-16.309174,1.2218065,-9.8121367,-34.687695,-2.6885122999999997,1.2208819,-9.8121367,-34.687187,-109.00508,1.2294577,-9.8121367,-34.694962,-9.8012648,1.2288153,-9.8121367,-34.694672
7,1,CHEMBL1089846,-7.995,-6.1110000000000015,-0.235,-0.696,-1.435,-6.1110000000000015,-1.933,-0.311,-1.047,-29.041,-13.99,0.95,-0.219,-66.553,-43.03100000000001,1.467,44.0423,7.5896,31.4574,-1.617,-5.1844,64.0588,3.984,-50.7175,0.9943,-5.902,-2.9992,-43.2662,0.1697,35.8659,37.23,0.0282,1.3359,-186.15,29.5734,0.3599,1.1415,-31.0747,1.9296,199.5908,1.6415,-62.655464,-6.764634599999999,4.0289941,-10.81659,-35.079411,-18.350604999999998,4.1286716,-11.959482000000001,-34.208195,-4.113843,4.1286707,-11.959482000000001,-34.208195,-118.02644,4.1286712,-11.959482000000001,-34.208195,-12.002682,4.1286716,-11.959482000000001,-34.208195
8,1,CHEMBL1091591,-8.512,-5.233,-0.18,-0.5539999999999999,-1.198,-5.233,-1.6369999999999998,-0.171,-1.138,-35.387,-6.19,0.512,-0.1,-58.047,-41.577,3.272,-22.2972,6.4933,32.9579,-2.389,-71.7186,56.972,2.0,-57.1272,1.3598,-6.8004,-1.0,-50.2548,0.1751,41.6936,42.528,0.2421,0.5924,-212.64,25.8531,0.0383,0.3313,-26.2227,0.9968,177.7698,1.3225,-70.391037,-6.7005448,70.142166,-10.672225,-36.635334,-19.843811,70.197159,-11.010477999999999,-35.416405,-4.523553400000001,70.197159,-11.010477999999999,-35.416409,-97.330704,70.197159,-11.010477999999999,-35.416412,-10.954528999999999,70.197159,-11.010477999999999,-35.416401
9,1,CHEMBL1092301,-7.518,-5.835,-0.208,-0.633,-1.347,-5.835,-1.693,-0.265,-0.878,-34.255,-13.482,0.947,-0.211,-64.457,-47.738,12.183,18.7906,4.9794,35.2311,-4.6803,-29.9512,65.1929,2.7823,-59.0025,1.6589,-6.5503,-2.0,-52.1667,0.1337,38.2364,41.136,1.561,1.3386,-205.68,28.8255,1.7957,0.9497,-31.5709,1.9598,210.8485,2.0016,-62.9823,-6.6678648,98.477226,-10.81516,-35.581474,-20.403643,98.509109,-11.425272999999999,-34.400890000000004,-4.492557,98.509056,-11.425272999999999,-34.400543,-109.63843,98.508965,-11.425272999999999,-34.400284,-11.460861999999999,98.509041,-11.425272999999999,-34.400555
10,1,CHEMBL1092302,-7.337999999999999,-6.042000000000002,-0.224,-0.6709999999999999,-1.406,-6.042000000000002,-1.196,-0.36,-0.99,-34.241,-17.09,1.013,-0.233,-75.405,-51.331,2.93,33.476,5.078,30.5615,-2.5935,-11.0305,62.0878,3.0,-54.1265,1.5968,-7.0806,-2.0,-46.9044,0.1397,40.3504,43.108,0.0308,2.7268,-215.54,29.4521,0.1813,2.0648,-31.6982,1.7937,223.6859,2.3219,-60.658466000000004,-6.4618263,62.617401,-11.354632,-36.102661,-15.518661999999999,62.562293999999994,-10.513235,-34.497593,-3.3922577000000005,62.56266,-10.513235,-34.498215,-71.003052,62.565070999999996,-10.513235,-34.501118,-10.485641000000001,62.564579,-10.513235,-34.500729
