Number,Label,Name,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
1,1,CHEMBL1077227,-6.159,-0.237,-0.7020000000000001,-1.446,-6.159,-3.175,0.0,-0.976,-35.27,-3.499,0.28,0.0,-52.64100000000001,-38.769,7.647,41.3721,5.9599,30.5223,-2.3822,-4.1737,60.7834,1.0,-55.3496,0.3371,-3.4073,-1.0,-53.0825,0.2536,25.9814,28.592,1.4185,1.1921,-142.96,33.0354,1.341,0.9232,-35.2995,0.0,285.8657,1.4167,-69.34560400000001,-6.0057778,4.0470885999999995,-9.4607468,-26.797959999999996,-12.360697,3.7099307,-10.077210000000001,-26.141407,-3.4310849,3.7099307,-10.077210000000001,-26.141407,-75.03437,3.7099307,-10.077210000000001,-26.141407,-10.009008999999999,3.7099307,-10.077210000000001,-26.141407
2,1,CHEMBL1078998,-4.765,-0.207,-0.589,-1.152,-4.765,-2.214,0.0,-1.176,-29.849,-0.378,0.175,0.0,-38.522,-30.227,0.926,40.6968,0.047,36.49,-0.736,-8.7878,65.2681,0.0,-64.7669,1.2559,-0.0888,0.0,-65.027,0.0259,21.9127,25.576,2.9196,0.7437,-127.88,30.3942,4.445,0.5643,-35.4035,0.0,278.516,1.0402,-56.066573999999996,-5.6444173,-10.263036999999999,-8.293088000000001,-26.284899,-11.884716000000001,-10.329222999999999,-8.6995516,-25.540786999999998,-3.3603892,-10.329222999999999,-8.6995516,-25.540786999999998,-89.207268,-10.329222999999999,-8.6995516,-25.540786999999998,-8.681413699999998,-10.329222999999999,-8.6995516,-25.540786999999998
3,1,CHEMBL1082248,-5.7170000000000005,-0.229,-0.669,-1.355,-5.7170000000000005,-2.801,-0.084,-0.7959999999999999,-34.569,-3.633,0.238,0.0,-52.63399999999999,-38.203,3.2230000000000003,54.9064,0.0,43.7492,-2.2774,-2.9713,74.53399999999998,0.0,-75.2155,0.3584,-5.7349,0.0,-69.6496,0.0158,31.1155,31.554,0.1008,0.3377,-157.77,31.8185,0.3386,0.333,-32.4901,0.0,260.9087,1.3735,-70.866646,-5.7820129,21.499403,-9.9279118,-28.716070000000002,-9.8210011,21.525208,-10.272898,-27.494158000000002,-3.4253818999999996,21.525208,-10.272898,-27.494158000000002,-76.842735,21.525208,-10.272898,-27.494158000000002,-10.251729,21.525208,-10.272898,-27.494158000000002
4,1,CHEMBL1083836,-5.9670000000000005,-0.23,-0.68,-1.401,-5.9670000000000005,-2.6830000000000003,-0.2,-1.0759999999999998,-34.125,-4.542,0.468,-0.08800000000000001,-54.581,-38.667,5.044,51.4527,0.0,44.2353,-2.2903,-7.0805,74.9818,0.0,-75.5941,0.3907,-5.7272,0.0,-71.22399999999998,0.0287,28.4772,31.212,2.5658,0.1689,-156.06,35.159,3.0334,0.1661,-38.3586,0.8842,286.8576,1.4207,-44.576775,-5.3307071,89.73748,-11.148614,-22.49839,-8.7236567,89.854286,-10.449257000000001,-21.597417999999998,-2.9711881,89.854286,-10.449257000000001,-21.597417999999998,-56.894512,89.854286,-10.449257000000001,-21.597417999999998,-10.485327999999999,89.854286,-10.449257000000001,-21.597417999999998
5,1,CHEMBL1084115,-4.953,-0.215,-0.612,-1.198,-4.953,-2.3,-0.095,-1.176,-31.054,0.244,0.175,-0.042,-39.747,-30.809,0.838,45.5559,0.0,38.743,-0.8789,-6.8368,68.1387,0.0,-64.2063,0.7435,0.2039,0.0,-65.3482,0.0215,19.8259,20.208,0.3477,0.0344,-101.04,26.9506,0.2872,0.0073,-27.2452,0.0,208.7864,1.0402,-61.033722,-5.8278127,-11.922366,-8.163774499999999,-26.544674,-11.387766000000001,-11.976811,-8.9156485,-25.427885,-3.199187,-11.976811999999999,-8.9156485,-25.427885,-90.55487099999999,-11.976811,-8.9156485,-25.427885,-8.891833300000002,-11.976811,-8.9156485,-25.427882999999998
6,1,CHEMBL1084116,-5.037,-0.21,-0.605,-1.206,-5.037,-2.576,0.0,-0.941,-32.537,-0.261,0.147,0.0,-42.337,-32.798,0.93,45.0085,0.0,33.585,-0.8058,-0.3651,60.3782,0.3869,-59.2932,0.0437,-2.0539,-0.4728,-56.3256,0.0458,12.6031,23.268,10.3756,0.2893,-116.34,28.6093,8.0237,0.212,-36.8451,0.0439,289.5826,1.0402,-59.39794499999999,-5.6121163,-7.9208002,-8.389024699999998,-25.125242,-11.918992,-7.961592200000001,-8.911142300000002,-24.783056,-3.2416622999999998,-7.961592200000001,-8.911142300000002,-24.783056,-83.05890699999999,-7.961592200000001,-8.911142300000002,-24.783056,-8.8795958,-7.961592200000001,-8.911142300000002,-24.783056
7,1,CHEMBL1084143,-7.46,-0.219,-0.711,-1.648,-7.46,-4.567,-0.09,-0.466,-41.999,-5.454,0.601,-0.02,-72.44,-47.453,3.858,51.0223,0.212,48.0548,-4.8883,-10.3767,84.618,0.0,-85.56200000000003,1.3308,-9.466,0.0,-77.5142,0.1299,30.8022,34.628,1.6349,2.191,-173.14,39.1989,1.1973,1.2667,-41.6629,1.3176,313.7518,1.9246,-37.415188,-7.8812723,3.7897288999999996,-9.1025295,-49.923077,-12.055723,3.8156261,-11.516304,-48.817051,-2.797956,3.8156261,-11.516304,-48.817051,-96.035187,3.8156261,-11.516304,-48.817051,-11.495476,3.8156261,-11.516304,-48.817051
8,1,CHEMBL1084391,-4.773,-0.208,-0.59,-1.154,-4.773,-2.152,0.0,-1.217,-30.905,-0.219,0.174,0.0,-39.844,-31.124,0.229,32.7829,0.0,28.1913,-0.8828,-5.0974,53.70399999999999,0.0,-51.9617,0.3337,-4.7701,0.0,-48.4961,0.111,24.8982,29.412,3.4202,1.0936,-147.06,30.0801,2.6206,0.9401,-33.6408,0.0,264.406,1.0839,-92.617638,-6.2008433,10.481309,-9.1387882,-37.156944,-8.1873512,10.477397999999999,-9.929445300000001,-36.53933,-2.3935044,10.477397999999999,-9.929445300000001,-36.53933,-63.171604,10.477397999999999,-9.929445300000001,-36.53933,-10.090845,10.477397999999999,-9.929445300000001,-36.53933
9,1,CHEMBL1084431,-8.533999999999999,-0.225,-0.755,-1.84,-8.533999999999999,-4.365,-0.166,-1.358,-41.087,-6.667999999999998,0.449,-0.039,-78.86399999999998,-47.754,3.024,69.2708,15.2196,46.9696,-8.8412,-1.6909,87.4101,3.0,-79.6718,2.2374,-3.7436,-2.0,-76.2372,0.1059,35.8993,41.232,0.3188,5.0139,-206.16,35.3566,2.0875,3.3156,-40.7597,1.8433,290.5022,1.9006,-76.833794,-7.0377765,17.430716,-10.17421,-37.005333,-16.769648,17.571316,-12.985615,-36.25148,-3.2687955,17.571314,-12.985615,-36.251476000000004,-89.952072,17.571316,-12.985615,-36.25148,-12.938486,17.571316,-12.985615,-36.25148
10,1,CHEMBL1093087,-8.482000000000001,-0.242,-0.7929999999999999,-1.862,-8.482000000000001,-4.172,-0.209,-1.237,-40.238,-7.905,0.436,-0.103,-76.105,-48.142,10.731,68.1952,10.2497,48.2878,-4.2473,-4.203,91.4454,3.0,-86.1345,2.2535,-3.6086,-2.0,-82.4079,0.1025,39.3541,41.29600000000001,0.2757,1.6662,-206.48,38.3514,1.4625,1.3003,-41.1143,1.9794,291.139,1.9688,-75.94103199999999,-6.8044381,11.091761,-9.200636900000001,-36.074276,-14.0181,11.278983,-12.169054,-35.375443,-3.6995584999999997,11.278978,-12.169054,-35.375439,-78.106926,11.278977000000001,-12.169054,-35.375439,-12.185105,11.278981,-12.169054,-35.375439
