Number,Label,Name,minimizedAffinity,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf_ahb,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
1,1,CHEMBL1082780,-11.73,-12.038,-0.344,-1.125,-2.6430000000000002,-12.038,-6.187,-0.255,-2.4,-61.191,-3.478,0.385,0.0,-101.819,-64.669,9.294,77.0969,1.4378,59.0549,-11.655999999999999,6.1145,82.0937,0.6988,-83.5471,5.119,-0.9914,-0.6321,-84.5669,0.4349,44.438,51.812,1.133,6.2409,-259.06,40.249,2.7873,1.7572,-44.7935,0.7102,315.7383,0.0,-118.03872,-9.7318268,108.25133999999998,-12.433821,-53.965092000000006,-27.220789,108.2268,-14.736391000000001,-52.494755000000005,-10.879086000000001,108.22585,-14.736391000000001,-52.493225,-162.90854,108.22646,-14.736391000000001,-52.495289,-14.717923,108.22801000000001,-14.736391000000001,-52.49448
2,1,CHEMBL1083487,-11.794,-11.705,-0.316,-1.054,-2.539,-11.705,-6.46,-0.23800000000000002,-2.412,-55.758,-1.203,0.373,0.0,-84.461,-56.961000000000006,7.996,26.2705,0.0,33.0591,-10.8116,-8.3741,75.6653,0.0,-77.1133,4.3345,-5.8305,0.0,-74.4573,0.2698,36.918,52.744,5.8137,10.0122,-263.72,36.7711,9.2619,3.7969,-49.83,0.9879,350.8588,0.0,-109.09666999999999,-9.5872984,130.04916,-13.462922,-51.28286,-31.90213,130.05324,-14.772769,-49.989048,-11.601216,130.05431000000002,-14.772769,-49.988724,-160.0132,130.05217,-14.772769,-49.991295,-14.771279000000002,130.05424,-14.772769,-49.989571000000005
3,1,CHEMBL1084013,-11.913,-10.109,-0.266,-0.894,-2.18,-10.109,-5.957999999999999,-0.16,-2.0980000000000003,-52.053999999999995,2.529,0.354,-0.023,-68.822,-49.525,7.256,33.8277,0.0,31.4098,-12.8204,3.4596,71.7525,0.0,-72.1668,3.6618,-5.5143,0.0,-70.0074,0.3718,50.0996,57.916000000000004,0.5032,7.3132,-289.58,40.2865,3.4008,1.7651,-45.4524,0.608,346.1682,1.0,-131.30731,-10.0116,85.65322900000001,-12.933997999999999,-53.631831999999996,-31.419743,85.641418,-15.346604999999998,-52.03154,-11.867702,85.643967,-15.346604999999998,-52.034027,-172.76894,85.640938,-15.346604999999998,-52.031773,-15.344707000000001,85.643417,-15.346604999999998,-52.033122999999996
4,1,CHEMBL1084360,-11.394,-10.556,-0.341,-1.07,-2.381,-10.556,-5.023,-0.17600000000000002,-2.437,-53.895,-3.4189999999999996,0.299,-0.011000000000000001,-91.801,-57.315,5.587999999999999,66.0974,2.1447,49.0592,-7.7616,4.2578,87.8476,1.8,-84.634,3.2316,-4.7872,-2.0,-80.5949,0.45299999999999996,45.9126,49.38,0.1742,3.2932,-246.9,40.9841,1.0418,0.4265,-42.4523,1.5971,270.4112,0.0,-112.27402,-8.8404799,54.828869,-12.92631,-45.220181,-24.004220999999998,54.939091000000005,-13.517667999999999,-44.993626,-9.527187300000001,54.938801,-13.517667999999999,-44.993553000000006,-143.21227,54.935658,-13.517667999999999,-44.990108,-13.517835,54.939335,-13.517667999999999,-44.993728999999995
5,1,CHEMBL1086484,-11.729000000000001,-12.515999999999998,-0.33799999999999997,-1.127,-2.714,-12.515999999999998,-6.9,-0.22899999999999998,-2.046,-64.69800000000001,-3.04,0.373,-0.023,-114.307,-67.738,8.514,-11.9054,0.0,20.0435,-4.8026,-34.6626,68.1034,0.975,-65.6725,2.3369,-2.1324,-0.9697,-65.4848,0.2944,42.6866,53.994,5.1554,6.152,-269.97,35.722,10.7561,2.9472,-49.4253,1.3558,361.5462,1.1266,-102.14466,-9.395270300000002,76.27063000000001,-12.592671000000001,-43.397273999999996,-30.009565000000002,76.29744699999999,-16.274359,-43.030640000000005,-11.344767,76.296776,-16.274359,-43.021667,-164.79478,76.294762,-16.274359,-43.029488,-16.268766,76.29484599999999,-16.274359,-43.027142
6,1,CHEMBL1089350,-9.641,-8.96,-0.345,-1.021,-2.104,-8.96,-4.223,-0.12300000000000001,-2.448,-42.772,-3.011,0.425,0.0,-57.946000000000005,-45.783,6.452000000000001,29.8196,0.0,42.3239,-3.6669,-24.709,72.8301,0.0,-74.8704,1.0351,-8.7107,0.0,-69.3065,0.1575,27.5257,32.582,2.3737,2.6827,-162.91,28.886999999999997,2.1166,1.6953,-32.6989,0.0,260.2356,1.2612,-81.54943100000001,-7.7202272,9.5082369,-10.777633999999999,-34.528038,-27.145258000000002,9.511719699999999,-11.095377000000001,-33.405521,-7.3911295,9.514150599999999,-11.095377000000001,-33.402454,-111.23451999999999,9.513399099999999,-11.095377000000001,-33.408852,-11.094041,9.508709,-11.095377000000001,-33.39629
7,1,CHEMBL1089743,-8.967,-7.0920000000000005,-0.23600000000000002,-0.735,-1.611,-7.0920000000000005,-5.0,0.0,-0.102,-52.095,0.36700000000000005,0.5589999999999999,0.0,-71.097,-51.728,6.176,18.5411,0.0,28.2256,-4.5806,-15.6885,70.1764,0.0,-72.313,1.9268,3.6645,-0.2031,-78.4325,0.3278,36.4064,41.474,0.5138,4.5538,-207.37,34.0228,0.7871,2.3769,-37.1868,0.0,300.9388,1.3684,-76.082611,-8.1014862,0.36165115,-11.360628,-37.364868,-26.693193,0.39627415,-12.436896,-36.27943,-9.1012936,0.39374879,-12.436896,-36.276882,-119.12052,0.39495254,-12.436896,-36.278301,-12.446414,0.39482826,-12.436896,-36.278542
8,1,CHEMBL1090477,-9.31,-9.454,-0.27,-0.884,-2.075,-9.454,-6.2139999999999995,-0.32,-1.24,-23.693,-7.037000000000001,0.56,0.0,-49.909,-30.730999999999998,10.547,62.7466,1.7054,52.0147,-7.3029,-3.1761,82.4511,1.7963,-80.3786,1.7394,-4.9511,-2.0,-76.8857,0.1231,35.2428,42.434,5.6065,1.5847,-212.17,46.4226,5.5471,1.3558,-53.3255,1.8333,393.5986,1.6909,-88.976326,-8.9738455,1.5136584,-12.031937,-30.524794,-33.471901,1.6480393,-14.691938,-28.080492,-11.337029,1.6506068999999999,-14.691938,-28.071754,-161.29343,1.6494238,-14.691938,-28.089653000000002,-14.687565,1.6521317,-14.691938,-28.073433
9,1,CHEMBL1091054,-9.353,-9.971,-0.285,-0.932,-2.189,-9.971,-5.544,-0.047,-1.42,-59.773999999999994,-3.812,0.6,0.0,-85.514,-63.586000000000006,6.324,53.5081,1.8592,49.7001,-6.6896,-9.9991,82.6427,0.8938,-79.3399,1.3471,-1.6217,-1.0,-79.0875,0.3571,37.606,43.396,2.9953,2.7947,-216.98,37.0527,3.2065,1.5613,-41.8206,0.9414,316.3571,1.4912,-97.998245,-9.181374499999999,50.440964,-12.670187,-35.588347999999996,-28.593704,50.499187,-15.355382999999998,-33.936932,-8.4128962,50.512733000000004,-15.355382999999998,-33.933044,-161.73514,50.508251,-15.355382999999998,-33.955704,-15.357188,50.512264,-15.355382999999998,-33.932285
10,1,CHEMBL1091439,-9.509,-11.036,-0.325,-1.052,-2.438,-11.036,-6.16,-0.32,-1.656,-54.001000000000005,-5.568,0.635,0.0,-88.0,-59.568999999999996,5.606,20.8513,0.4495,53.5093,-5.9675,-47.206,73.3983,0.0,-75.1689,1.0786,-2.1829,0.0,-75.8299,0.2166,29.9047,38.274,5.6842,2.6852,-191.37,30.5517,5.6689,1.2705,-37.4911,0.0,304.7783,1.425,-123.35445,-8.0604601,52.868984,-12.685075,-31.277811,-25.418314000000002,52.838409,-13.127719,-29.882828000000003,-8.5561972,52.841476,-13.127719,-29.884813,-147.63031,52.840275,-13.127719,-29.884253,-13.127075,52.839672,-13.127719,-29.883062
