Number,Label,Name,minimizedAffinity,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf_ahb,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
1,0,101,-6.354,-5.013,-0.33399999999999996,-0.8240000000000001,-1.3519999999999999,-5.013,-1.912,0.0,-2.033,-28.404,-1.706,0.608,0.0,-40.475,-30.11,1.931,38.9716,10.0,23.3274,-3.8545,0.7509,45.4746,2.0,-40.0901,0.3126,-2.7317,-1.0,-36.9845,0.2217,22.5627,22.901999999999997,0.1219,0.2174,-114.51,20.8468,0.1307,0.2584,-21.2359,0.9691,148.4954,1.8964,-66.736801,-5.5564651,-109.46893,-10.223263000000001,-28.735226,-12.694562,-109.4229,-8.2444057,-26.227766,-3.4072735,-109.42138999999999,-8.2444057,-26.230663,-74.081039,-109.42423000000001,-8.2444057,-26.22583,-8.2565823,-109.42316000000001,-8.2444057,-26.227642
2,0,102,-6.8020000000000005,-5.46,-0.321,-0.826,-1.4240000000000002,-5.46,-2.432,0.0,-1.689,-32.492,-2.472,0.6559999999999999,0.0,-48.838,-34.963,1.805,43.7944,9.998,29.3049,-5.2118,-1.286,49.6275,1.952,-44.8155,0.5426,-4.462,-1.0,-39.247,0.0882,22.103,22.304000000000002,0.0009,0.2001,-111.52,21.3189,0.1013,0.1692,-21.5894,0.9913,156.3472,2.1462,-75.751305,-6.617203699999999,-28.920301000000002,-12.017014999999999,-32.260506,-13.048725,-28.866501,-10.616978,-30.913662,-4.1240458,-28.866501,-10.616978,-30.913662,-97.93915600000001,-28.866501,-10.616978,-30.913662,-10.583817,-28.866501,-10.616978,-30.913662
3,0,103,-7.781000000000001,-6.436,-0.293,-0.82,-1.5730000000000002,-6.436,-1.0090000000000001,-0.608,-1.882,-33.431,-9.866,0.44299999999999995,-0.22899999999999998,-63.22,-43.297,1.405,51.4525,3.978,38.8999,-9.6647,3.6519,48.6461,2.0,-44.6443,3.6633,-5.1999,-2.6989,-37.8036,0.6345,19.8249,25.498,1.1927,4.4804,-127.49,27.0176,2.3354,1.2423,-30.5953,3.7665,107.1374,0.0,-80.171028,-6.6881452,-63.616253,-12.445675,-29.79973,-13.04246,-63.824993000000006,-12.267785,-29.985668,-3.4540362,-63.824993000000006,-12.267785,-29.985668,-111.31148999999999,-63.824993000000006,-12.267785,-29.985668,-12.227003999999999,-63.824993000000006,-12.267785,-29.985668
4,0,104,-7.517,-4.621,-0.193,-0.555,-1.1059999999999999,-4.621,-0.9540000000000001,0.0,-1.702,-37.43,-4.288,0.5760000000000001,-0.027000000000000003,-57.515,-41.718,1.091,1.7777,0.3437,30.7434,-6.9533,-33.8849,47.5052,1.8559999999999999,-44.5643,2.656,-8.0596,-1.0,-37.3698,0.7679,19.7414,26.308000000000003,1.1677,5.3989,-131.54,22.204,1.103,2.6556,-25.9626,1.4372,155.917,1.0,-79.239891,-6.520957,-59.81286600000001,-11.965883,-33.865711,-18.012276,-60.00798399999999,-11.349519,-33.290676,-4.0706625,-60.00798399999999,-11.349519,-33.290676,-87.749809,-60.00798399999999,-11.349519,-33.290676,-11.305375999999999,-60.00798399999999,-11.349519,-33.290676
5,0,105,-6.442,-4.503,-0.237,-0.632,-1.1420000000000001,-4.503,-0.7859999999999999,-0.297,-1.646,-27.755,-5.65,0.611,-0.15,-45.563,-33.405,0.97,41.842,3.7947,33.7171,-9.6941,1.3804,43.3895,0.9913,-41.5473,2.0963,-5.4989,-0.9897,-36.1763,0.2549,14.9221,18.766,0.5531,3.2908,-93.83,21.4663,1.1774,0.6576,-23.3012,1.186,118.4617,0.0,-66.914322,-6.3112259,-68.570656,-11.095864,-31.986140999999996,-11.96778,-68.535912,-9.932725900000001,-31.33868,-2.8047035,-68.535889,-9.932725900000001,-31.338701,-89.482338,-68.535896,-9.932725900000001,-31.338701,-9.927642800000001,-68.535912,-9.932725900000001,-31.338688
6,0,106,-7.045,-4.123,-0.217,-0.579,-1.045,-4.123,-0.425,-0.087,-1.525,-27.017,-8.246,0.56,-0.057999999999999996,-45.728,-35.264,3.949,38.2549,9.9698,26.0493,-8.8271,1.2944,43.4046,2.0,-40.3204,3.0989999999999998,-5.4816,-1.0,-35.4716,0.5982,18.8303,22.258000000000003,0.048,3.3798,-111.29,23.5488,0.1869,1.2146,-24.9503,0.9326,139.7889,0.0,-56.535824,-5.776071099999999,-65.03735400000001,-10.709483,-23.860079000000002,-12.193844,-65.11554,-9.8575859,-23.210657,-2.5777409,-65.11554,-9.8575859,-23.210657,-90.655212,-65.11554,-9.8575859,-23.210657,-9.8650541,-65.11554,-9.8575859,-23.210657
7,0,107,-7.854,-4.942,-0.247,-0.6709999999999999,-1.237,-4.942,-1.871,-0.10400000000000001,-1.158,-34.177,-3.8489999999999998,0.5770000000000001,-0.1,-51.865,-38.025999999999996,2.312,28.5281,0.7314,33.8088,-9.1237,-9.5667,50.0445,2.0,-47.507,2.4128,-4.5784,-1.0,-43.2989,1.1405,14.2983,17.342,0.3155,2.7282,-86.71,23.7779,0.0712,0.7526,-24.6018,1.743,113.6753,0.0,-70.021309,-6.4564629,-62.556511,-11.837852,-34.37149,-12.476948,-62.478297999999995,-10.870563,-32.084858000000004,-3.2687174999999997,-62.47835500000001,-10.870563,-32.084824,-96.091347,-62.47864499999999,-10.870563,-32.084773999999996,-10.833877000000001,-62.478367000000006,-10.870563,-32.084866
8,0,108,-7.032,-4.489,-0.23600000000000002,-0.63,-1.138,-4.489,-0.643,-0.16,-1.739,-29.665,-5.821000000000001,0.557,-0.147,-46.708,-35.486,4.271,37.0192,7.8992,27.3875,-11.3011,2.7633,44.8889,3.0,-37.7816,2.4455,-4.5485,-2.0,-32.5792,0.6519,13.3461,16.582,0.0056,3.2303,-82.91,26.1795,0.09699999999999999,1.0782,-27.3546,1.9646,130.8801,0.0,-64.758614,-6.0628018,-67.25999499999999,-10.862385,-30.829323,-13.846573999999999,-66.814064,-9.505031599999999,-29.98242,-2.6097376,-66.814064,-9.505031599999999,-29.98242,-89.968712,-66.814064,-9.505031599999999,-29.98242,-9.542395599999999,-66.814064,-9.505031599999999,-29.98242
9,0,109,-7.247999999999999,-4.012,-0.201,-0.545,-1.004,-4.012,-0.5920000000000001,-0.258,-1.5130000000000001,-27.495,-5.546,0.5760000000000001,-0.018000000000000002,-44.04,-33.041,2.202,28.1151,4.7392,24.1988,-4.7343,-5.1632,47.5338,2.0,-41.9515,1.7905,-5.5636,-2.1435,-34.7634,0.4408,16.3702,21.458000000000002,0.1611,4.9267,-107.29,26.493000000000002,0.011000000000000001,1.2404,-27.7444,1.8334,137.9568,0.0,-70.66551199999999,-6.053032900000001,-99.701447,-11.151652,-28.689783000000002,-13.858948999999999,-99.808311,-11.399650999999999,-28.625055,-3.668879,-99.808311,-11.399650999999999,-28.625055,-103.03165,-99.808311,-11.399650999999999,-28.625055,-11.441587,-99.808311,-11.399650999999999,-28.625055
10,0,110,-7.327999999999999,-5.05,-0.266,-0.7090000000000001,-1.28,-5.05,-1.81,0.0,-1.8780000000000001,-32.272,-3.082,0.7140000000000001,0.0,-49.071999999999996,-35.354,0.9390000000000001,13.7495,0.0,32.9273,-6.5152,-25.0103,49.2348,0.0,-49.7776,1.0668,-6.5678,0.0,-43.9554,0.1659,19.0053,21.201999999999998,0.0224,2.1743,-106.01,24.379,0.2853,0.0357,-24.7,0.8053,141.285,0.0,-76.718048,-5.8447332,-90.906136,-11.009333,-29.612715,-13.93188,-90.88499499999999,-9.996460899999999,-29.033932,-3.3961922999999996,-90.88499499999999,-9.996460899999999,-29.033932,-81.155365,-90.88499499999999,-9.996460899999999,-29.033932,-10.011181,-90.88499499999999,-9.996460899999999,-29.033932
