Number,Label,Name,minimizedAffinity,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf_ahb,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
1,1,CHEMBL100056,-8.797,-9.003,-0.31,-0.9540000000000001,-2.062,-9.003,-5.252000000000001,0.0,-2.727,-20.007,-2.53,0.355,0.0,-30.471999999999998,-22.535999999999998,2.161,36.4573,0.0,26.6847,-0.9897,0.7556,71.7791,0.0811,-73.0298,0.8257,-4.303999999999999,-1.9381,-70.2523,0.3245,35.7305,43.668,5.4846,2.4529,-218.34,30.1888,5.1577,2.267,-37.6135,0.2651,301.3902,1.5682,-83.64518699999999,-7.8175550000000005,-13.165587,-12.001451,-27.497604,-26.206068,-13.08094,-15.14581,-25.150309,-7.997219099999999,-13.079172999999999,-15.14581,-25.151865,-140.58977,-13.080304,-15.14581,-25.151087,-15.141960000000001,-13.080034,-15.14581,-25.151064
2,1,CHEMBL100629,-9.644,-10.145,-0.376,-1.127,-2.362,-10.145,-5.415,0.0,-2.8810000000000002,-36.188,-2.27,0.301,0.0,-49.8,-38.458,2.753,62.3632,0.0,51.9287,-10.9602,1.9215,79.5431,0.0,-77.8226,1.2804,-0.9406,0.0,-78.8051,0.0531,41.236000000000004,47.306000000000004,3.8691,2.2009,-236.53,34.5579,4.3719,1.5017,-40.4315,0.0,320.6111,1.0,-74.259415,-7.4589629,31.836909999999996,-12.062061,-26.655361,-25.724903,31.819042,-14.016942000000002,-26.253534000000002,-7.4036355,31.819899,-14.016942000000002,-26.255097999999997,-139.86673000000002,31.821239000000002,-14.016942000000002,-26.255274,-14.015101000000001,31.820313,-14.016942000000002,-26.254709000000002
3,1,CHEMBL100951,-8.985,-8.899,-0.287,-0.902,-2.0069999999999997,-8.899,-5.335,0.0,-2.331,-26.953000000000003,-1.351,0.317,0.0,-28.616999999999997,-28.304000000000002,8.383,12.6951,0.2061,14.3573,-0.525,-6.7273,64.7895,0.9440000000000001,-66.5566,0.3735,-2.5446,-2.487,-64.2389,0.2571,32.1255,46.644,10.9806,3.5378,-233.22,28.3202,10.5504,3.3169999999999997,-42.1876,0.0,347.5783,1.5465,-66.007362,-7.5546907999999995,52.762572999999996,-11.737374,-24.487415,-26.268555,52.818199,-15.870102,-22.72175,-7.8278637,52.849522,-15.870102,-22.755848,-145.43918,52.846332999999994,-15.870102,-22.752865,-15.865925,52.845794999999995,-15.870102,-22.754416
4,1,CHEMBL100968,-7.579,-7.166,-0.265,-0.7959999999999999,-1.6680000000000001,-7.166,-3.2710000000000004,0.0,-2.485,-31.263,-1.409,0.44299999999999995,-0.078,-28.467,-32.672,14.125,55.8253,0.0,47.122,-1.0079,-7.9596,72.8827,0.0,-69.2846,0.2339,-1.8135,0.0,-68.4041,0.2589,46.5811,49.153999999999996,2.2427,0.3302,-245.77,28.9483,1.8219,1.1649,-31.9351,0.0,264.6782,1.7626,-81.67246999999999,-7.2230144,9.6546907,-11.732317,-29.057517999999998,-23.875807000000002,9.6405869,-13.276144,-27.153564000000003,-7.165072,9.6352673,-13.276144,-27.153837,-120.60261000000001,9.641695,-13.276144,-27.155081,-13.280009,9.6415854,-13.276144,-27.155855
5,1,CHEMBL101293,-6.242000000000001,-8.943999999999999,-0.298,-0.9259999999999999,-2.032,-8.943999999999999,-4.52,-0.304,-3.198,-20.101,-1.671,0.33399999999999996,0.0,-55.49,-21.772,4.662,44.1963,0.0,40.9786,-12.7665,0.6172,61.2131,0.0,-64.1888,2.9083,10.6724,-0.1197,-77.7534,1.4111,32.6014,45.076,5.3814,7.0933,-225.38,27.3254,5.8471,4.5494,-37.7219,0.0,297.4519,1.0,-92.202263,-8.2837543,29.960602,-11.678728,-29.755913,-23.092009,30.094490000000004,-16.101406,-29.210732,-8.1898165,30.094441999999997,-16.101406,-29.209303000000002,-147.52588,30.092699,-16.101406,-29.209453999999997,-16.096434,30.092119,-16.101406,-29.209197999999997
6,1,CHEMBL101944,-8.311,-9.44,-0.35,-1.0490000000000002,-2.197,-9.44,-4.744,0.0,-2.864,-36.793,-2.912,0.445,0.0,-51.373999999999995,-39.705,0.674,58.6943,0.0,53.3389,-2.2523,-12.3945,77.5473,0.0,-77.4071,0.418,7.8942,-1.5669,-87.0542,2.8753,38.9425,46.11600000000001,3.5715,3.602,-230.58,31.421999999999997,3.0316,3.3435,-37.7971,0.0,307.5146,1.4305,-72.205025,-7.2259164,17.653579999999998,-11.303194,-23.184504999999998,-25.670872,17.68165,-14.009469000000001,-22.645872,-6.7932234,17.682337,-14.009469000000001,-22.646110999999998,-134.79546000000002,17.680664,-14.009469000000001,-22.6446,-14.007667999999999,17.680305,-14.009469000000001,-22.64406
7,1,CHEMBL102056,-8.34,-9.109,-0.337,-1.012,-2.12,-9.109,-4.665,0.0,-2.863,-36.158,-1.4569999999999999,0.445,0.0,-49.328,-37.614000000000004,2.05,63.3639,0.0,51.1885,-1.2382,-5.7821,70.5571,0.0,-69.2145,0.9013,1.2158,0.0,-72.0734,1.3191,35.7559,41.244,3.365,2.1232,-206.22,31.1002,2.8047,1.9149,-35.8199,0.0,290.6151,1.4305,-72.97052,-6.6097035,32.914452000000004,-10.957118,-15.781432999999998,-24.515787,32.914103999999995,-13.737834,-14.961535999999999,-8.2938604,32.915176,-13.737834,-14.961148999999999,-127.7363,32.914394,-13.737834,-14.960973000000001,-13.735482000000001,32.913651,-13.737834,-14.959992000000002
8,1,CHEMBL102113,-8.711,-8.889,-0.307,-0.9420000000000001,-2.035,-8.889,-5.162999999999999,0.0,-2.575,-16.948,-4.367,0.35200000000000004,0.0,-21.791,-21.315,4.906000000000001,22.8905,0.0,19.702,-1.7354,-2.4642,67.2626,0.0,-69.0331,0.958,-4.9356,-1.3169,-64.3922,0.2463,35.6177,43.172,4.8852,2.6692,-215.86,25.9687,4.6744,2.4524,-33.0956,0.0,275.6306,1.8099,-91.747375,-7.8106213,-63.718070999999995,-11.754853,-27.058365000000002,-23.165335,-63.639956999999995,-15.262208,-25.600441,-7.6500702,-63.639056999999994,-15.262208,-25.601082,-140.56586000000001,-63.642295999999995,-15.262208,-25.607544,-15.260160999999998,-63.639317000000005,-15.262208,-25.601435000000002
9,1,CHEMBL102166,-8.066,-8.73,-0.32299999999999995,-0.97,-2.032,-8.73,-5.154,0.0,-2.835,-23.307,-0.111,0.441,0.0,-27.644000000000002,-23.418000000000003,5.648,29.3092,0.7667,27.345,-4.0204,-5.0366,66.5133,0.976,-63.4514,1.5318,-2.3439,-0.816,-61.1622,0.3516,40.5052,48.262,4.8482,2.9086,-241.31,30.479,5.0529,2.5843,-38.1162,0.9421,285.4946,1.5286,-73.336464,-7.389511099999999,-6.6218381,-11.487667,-27.646446,-25.054867,-6.615769900000001,-14.040785999999999,-27.296673,-6.5842981,-6.6170425,-14.040785999999999,-27.294946999999997,-133.36058,-6.6173239,-14.040785999999999,-27.295633000000002,-14.040541000000001,-6.614290700000001,-14.040785999999999,-27.298584
10,1,CHEMBL103386,-7.671,-8.788,-0.314,-0.953,-2.029,-8.788,-5.012,0.0,-2.6069999999999998,-26.206999999999997,-1.396,0.35,0.0,-30.533,-27.601999999999997,4.458,15.3658,0.0,13.8548,-1.9796,-1.705,70.0967,0.0,-71.805,0.9578,-4.1885,-0.7534,-68.8642,0.1983,38.6548,41.81,1.3861,1.7691,-209.05,34.9598,1.5967,1.5866,-38.1431,0.0,308.4435,1.3378,-76.09201800000001,-7.6330905,-1.8853636999999999,-11.911217,-28.126381,-22.664220999999998,-1.9026185000000002,-14.853833999999999,-26.906481,-8.0763111,-1.8998637999999999,-14.853833999999999,-26.90793,-138.04802,-1.9017816000000003,-14.853833999999999,-26.907359999999997,-14.854245,-1.9022038000000001,-14.853833999999999,-26.906912
