number,name,Label,E_place,S,E_conf,E_score1,E_refine,S(2),E_conf(2),E_score1(2),E_refine(2),S(3),E_conf(3),E_score1(3),E_refine(3),S(4),E_conf(4),E_score1(4),E_refine(4),S(5),E_conf(5),E_score1(5),E_refine(5),Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal
1,101,1,-69.759483,-3.6300256,-107.12156,-10.932639,-19.112247,-76.570297,-107.12046,-10.932639,-19.112581,-11.567842,-107.12103,-10.932639,-19.112549,-4.9828081,-107.14241,-8.5716124,-20.032202,-10.907363,-107.12216,-10.932639,-19.112473,35.1979,4.0296,25.3919,-4.4975,0.752,50.9148,3,-43.3929,0.7414,-4.955,-3,-36.5571,0.184,20.9113,21.544,0.3041,0.3286,-107.72,21.3958,4.00E-04,0.3067,-21.7029,2.4202,111.0625,1.8964,-7.22,-0.481,-1.187,-1.947,-7.22,-0.849,-0.351,-3.109,-21.13,-14.768,0.425,-0.065,-59.12,-35.898,2.833
2,102,1,-63.154034,-3.3004851,-26.933218,-10.226651,-33.006935,-100.56823,-26.931978,-10.226651,-33.01046,-13.494453,-26.91642,-10.226651,-33.022137,-5.6722717,-26.968849,-11.830379,-33.838787,-10.182703,-26.926304,-10.226651,-33.011421,46.3437,12.9526,29.0947,-5.7642,-0.8499,59.9593,4.912,-47.0065,0.9583,-5.853,-5,-37.9154,0.4637,27.6931,28.11,0.0452,0.3718,-140.55,28.0456,0.5128,0.5101,-29.0686,4.1899,128.962,2.1462,-6.456,-0.38,-0.977,-1.684,-6.456,-1.287,-0.48,-1.443,-25.65,-17.154,0.656,-0.047,-63.549,-42.803,3.795
3,103,1,-65.352196,-4.5059657,-70.988495,-11.218328,-36.004402,-105.55153,-70.989639,-11.218328,-36.004967,-11.776075,-70.987976,-11.218328,-36.002853,-6.0180335,-71.247009,-10.891099,-35.746353,-11.391703,-70.987396,-11.218328,-36.000843,40.1117,8.2157,27.3347,-6.2509,0.5616,54.8378,5.4733,-38.5214,2.1112,-4.4746,-7,-28.0919,0.2202,19.367,23.76,0.0619,4.331,-118.8,30.7568,0.0331,0.589,-31.3789,4.8393,83.2117,0,-8.128,-0.369,-1.035,-1.987,-8.128,-1.54,-0.914,-1.056,-29.913,-22.229,0.295,-0.082,-90.213,-52.142,1.948
4,104,1,-80.778221,-5.2141271,-62.071476,-12.042196,-41.323944,-116.74949,-62.069534,-12.042196,-41.322571,-12.916483,-62.071957,-12.042196,-41.323208,-6.2564673,-62.011993,-9.1862507,-41.983273,-11.978105,-62.071808,-12.042196,-41.323254,26.2632,4.9543,26.6266,-11.2825,-4.0202,41.9459,1.72,-37.9699,3.4462,-6.9703,-2.5622,-29.1191,0.2184,12.2716,19.054,0.0998,6.6826,-95.27,24.3494,0.1104,1.551,-26.0109,2.3267,109.0558,0,-7.868,-0.328,-0.946,-1.883,-7.868,-1.8,-0.699,-1.147,-32.152,-19.52,0.576,-0.261,-82.962,-51.672,5.252
5,104,1,-63.410294,-5.5914879,-44.0382,-10.948982,-33.09935,-94.764305,-44.038944,-10.948982,-33.09848,-17.704288,-44.03825,-10.948982,-33.09837,-6.2287683,-43.801682,-9.5400705,-34.082611,-11.044064,-44.039696,-10.948982,-33.098442,56.4819,21.3107,29.6791,-7.7709,2.1333,60.0986,4.9588,-45.6614,1.9822,-9.4963,-5,-34.4875,1.6636,14.5485,20.312,0.0147,5.7488,-101.56,23.0454,0.0073,1.8289,-24.8817,1.7141,116.8935,0,-7.893,-0.329,-0.949,-1.889,-7.893,-1.811,-0.899,-1.086,-30.49,-19.778,0.434,-0.041,-89.522,-50.268,0.983
6,104,1,-58.200733,-5.4443383,-59.047409,-10.501723,-36.541985,-104.80583,-59.047131,-10.501723,-36.542408,-14.073162,-59.047272,-10.501723,-36.542831,-6.214036,-58.875286,-10.192217,-37.229084,-10.48074,-59.040508,-10.501723,-36.542793,5.6427,0,24.3977,-3.4479,-24.4563,40.3115,0,-40.3683,1.8864,-4.9586,-0.1005,-37.1432,0.3187,17.0707,23.192,1.3358,4.7856,-115.96,27.8357,1.1471,1.6228,-30.6056,4.1237,118.9107,1,-7.207,-0.3,-0.866,-1.725,-7.207,-1.815,-0.898,-0.963,-29.607,-16.283,0.432,-0.04,-77.881,-45.891,1.029
7,105,1,-64.135857,-2.5385857,-80.615227,-9.5007181,-30.975189,-78.670517,-80.615585,-9.5007181,-30.97476,-13.492281,-80.619827,-9.5007181,-30.974571,-5.5206504,-80.809387,-9.1867886,-31.86524,-9.4799662,-80.616661,-9.5007181,-30.981293,41.7962,10.2899,25.6831,-5.8673,2.0593,53.829,5.9913,-37.5322,2.36,-4.3735,-7.4357,-27.0654,0.7114,20.471,27.338,1.5194,5.3476,-136.69,33.4854,1.3826,2.6784,-37.5464,6.4207,90.7809,0,-7.113,-0.374,-0.999,-1.803,-7.113,-1.004,-0.748,-1.625,-25.228,-18.989,0.611,-0.238,-70.992,-44.216,0.977
8,105,1,-60.991005,-4.1874914,-57.293549,-9.9677114,-33.389729,-88.998253,-57.292324,-9.9677114,-33.392731,-13.710974,-57.292191,-9.9677114,-33.392685,-5.6624298,-57.188721,-9.3251419,-33.432819,-9.9807062,-57.292606,-9.9677114,-33.393345,50.4592,16.6319,25.7692,-3.0841,1.4787,43.2375,3.975,-31.3646,1.04,1.3222,-4.9739,-27.7279,0.7602,19.5163,26.046,2.4185,4.1112,-130.23,28.8976,3.1171,1.0382,-33.0529,3.9933,121.6691,0,-6.704,-0.353,-0.941,-1.699,-6.704,-1.166,-0.808,-1.368,-19.739,-18.385,0.41,-0.026,-63.817,-38.124,0.556
9,106,1,-67.892067,-3.9586463,-63.253002,-9.5020256,-27.101902,-92.759262,-63.253395,-9.5020256,-27.103075,-13.347651,-63.252918,-9.5020256,-27.105303,-5.6760268,-63.255165,-9.720211,-29.063341,-9.4586439,-63.251606,-9.5020256,-27.103819,55.1148,23.2034,25.9262,-3.1361,-0.601,51.5469,4.8613,-37.2846,1.2147,-7.4974,-5,-25.3332,0.5023,17.912,23.172,1.6576,3.6024,-115.86,29.9976,2.5336,0.8757,-33.4069,3.9589,125.6765,0,-7.998,-0.421,-1.123,-2.028,-7.998,-1.052,-0.799,-1.324,-24.546,-26.108,0.373,-0.052,-88.324,-50.654,0.342
10,107,1,-62.27623,-4.0167689,-60.76712,-10.738759,-31.481859,-118.45325,-60.763706,-10.738759,-31.483778,-14.504597,-60.762653,-10.738759,-31.490128,-6.4863305,-60.839352,-10.660721,-32.775627,-10.820882,-60.76252,-10.738759,-31.490002,38.0922,6.5818,26.137,-5.295,0.8671,56.7636,4.8205,-43.1282,1.9516,-4.8947,-7,-33.0404,1.0175,19.7809,24.344,0.0754,4.4877,-121.72,31.0446,0.2307,1.8035,-33.0787,4.7333,100.7659,0,-6.889,-0.344,-0.935,-1.724,-6.889,-1.392,-0.569,-1.454,-31.654,-14.875,0.577,-0.237,-72.288,-46.529,1.718
11,107,1,-82.240166,-3.5471072,-52.335617,-11.013804,-33.613647,-120.11382,-52.335602,-11.013804,-33.611969,-14.038787,-52.336006,-11.013804,-33.612354,-6.5834231,-52.40572,-10.632259,-35.15052,-11.024444,-52.332722,-11.013804,-33.612221,37.6992,16.957,26.3538,-17.2439,1.7497,55.7617,4.4124,-45.0144,2.3025,-6.9267,-5.5513,-33.8491,0.61,24.3401,27.062,0.3438,2.378,-135.31,31.4501,1.3232,0.3008,-33.0742,4.0478,120.294,0,-7.602,-0.38,-1.032,-1.903,-7.602,-1.482,-0.74,-1.478,-26.448,-19.524,0.387,-0.038,-77.481,-45.972,1.397
