number,name,Label,E_place,S,E_conf,E_score1,E_refine,S(2),E_conf(2),E_score1(2),E_refine(2),S(3),E_conf(3),E_score1(3),E_refine(3),S(4),E_conf(4),E_score1(4),E_refine(4),S(5),E_conf(5),E_score1(5),E_refine(5),Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal
1,CHEMBL1088912,1,-68.542122,-2.047483,-12.244617,-12.03616,-30.306379,-88.16655,-12.241838,-12.03616,-30.311886,-12.794039,-12.244675,-12.03616,-30.308399,-6.4638886,-12.203946,-12.246205,-30.799482,-12.02462,-12.244438,-12.03616,-30.308449,22.436,6.974,29.0028,-4.5226,-19.8943,57.0688,3.2371,-49.3738,1.5349,-6.2836,-2.8198,-40.8562,0.1833,33.0151,35.81,0.4886,2.3063,-179.05,28.4652,1.6401,1.9216,-32.0268,2.7739,197.5926,2.2798,-7.209,-0.288,-0.843,-1.709,-7.209,-1.955,-0.36,-1.108,-30.416,-19.066,0.83,-0.235,-82.904,-49.482,3.905
2,CHEMBL1088912,1,-100.61918,-3.2122285,17.86908,-10.174363,-27.362982,-94.470573,17.867443,-10.174363,-27.36537,-16.185814,17.867985,-10.174363,-27.364845,-6.216815,17.733395,-10.541463,-28.444221,-10.158823,17.869511,-10.174363,-27.361517,29.6177,11.5643,33.427,-6.0123,-21.8964,63.9088,3,-53.8626,1.1641,-7.5964,-2,-47.1279,1.3274,32.9905,35.738,0.6117,2.1357,-178.69,25.9788,0.2234,2.0564,-28.2587,1,214.6411,2.2165,-6.472,-0.259,-0.757,-1.534,-6.472,-1.98,-0.387,-1.367,-30.499,-12.33,0.834,-0.198,-67.58,-42.829,2.507
3,CHEMBL1088912,1,-67.051834,-4.0979576,-11.932966,-10.392762,-31.399549,-124.27121,-11.937863,-10.392762,-31.390781,-21.530859,-11.928152,-10.392762,-31.412291,-5.8495693,-12.04309,-12.334616,-31.741207,-10.378585,-11.925323,-10.392762,-31.414478,19.2791,10.1659,27.0855,-2.0535,-26.0759,58.8728,3.928,-47.5075,0.4042,-5.2186,-3,-40.726,0.1498,31.6345,32.748,0.0324,1.081,-163.74,27.2877,0.0704,0.6679,-28.026,1.9953,185.6248,2.2798,-7.225,-0.289,-0.845,-1.713,-7.225,-1.46,-0.413,-1.108,-25.91,-23.903,0.83,-0.193,-81.298,-49.813,8.593
4,CHEMBL1088912,1,-80.881264,-3.2772267,12.252949,-10.339128,-26.798882,-107.88425,12.245863,-10.339128,-26.780231,-15.069294,12.251874,-10.339128,-26.800123,-5.932477,12.216607,-11.024688,-28.09893,-10.39776,12.249737,-10.339128,-26.790833,20.3493,3.1659,27.7883,-2.7019,-18.3236,59.1612,2.944,-51.2544,0.6426,-7.0766,-2,-43.0683,0.1624,33.5885,34.462,0.0015,0.872,-172.31,29.9674,0.1693,0.5868,-30.7235,2.7607,185.4448,2.2165,-6.417,-0.257,-0.751,-1.521,-6.417,-1.998,-0.36,-1.173,-27.607,-14.148,0.834,-0.217,-63.495,-41.755,10.141
5,CHEMBL1088913,1,-71.827583,-3.6281147,-8.662096,-12.457611,-36.801842,-114.96886,-8.6624069,-12.457611,-36.80257,-18.979666,-8.6627932,-12.457611,-36.803581,-6.6300282,-8.705348,-12.038229,-38.24926,-12.454988,-8.6643333,-12.457611,-36.808018,37.376,20,38.4546,-5.6895,-29.8096,66.6257,3.9825,-54.5147,1.4532,-6.0308,-2.9942,-52.0241,5.6915,29.8755,37.352,4.0674,3.4091,-186.76,28.5016,3.7496,3.3221,-35.5733,3.7177,204.7321,2.4521,-7.395,-0.284,-0.843,-1.737,-7.395,-2.282,-0.35,-1.013,-31.956,-19.153,0.926,-0.206,-86.259,-51.109,4.838
6,CHEMBL1088913,1,-94.307419,-2.9488635,-1.4289575,-12.254037,-30.297497,-123.38456,-1.4298543,-12.254037,-30.297617,-16.116083,-1.4299926,-12.254037,-30.296865,-6.4766364,-1.4563597,-13.131871,-30.769306,-12.266026,-1.4304062,-12.254037,-30.292221,31.0683,17.0873,34.073,-4.4122,-28.4572,66.9174,5.249,-56.8449,1.4559,-9.6295,-3.2666,-45.7627,0.189,33.3336,34.438,0.4213,0.6831,-172.19,27.1958,0.4606,0.512,-28.1684,1.997,190.5632,2.4521,-6.961,-0.268,-0.793,-1.635,-6.961,-1.989,-0.342,-1.013,-27.363,-19.703,0.926,-0.22,-80.077,-47.066,3.779
7,CHEMBL1088913,1,-94.272354,-3.589833,-4.8990469,-12.125998,-38.537827,-112.1323,-4.9025583,-12.125998,-38.534088,-17.294224,-4.901597,-12.125998,-38.534428,-6.3370681,-5.3699827,-12.444951,-38.729435,-12.137283,-4.9023795,-12.125998,-38.534367,34.6587,13.0568,33.4508,-5.689,-18.7039,71.0356,5.1538,-57.7509,1.2968,-6.2345,-3.3604,-49.4913,0.3773,31.3641,33.658,0.3605,1.9335,-168.29,27.6303,0.7071,1.3311,-29.6685,2.6838,184.0066,2.4625,-7.388,-0.284,-0.842,-1.735,-7.388,-1.915,-0.319,-1.013,-26.93,-23.207,0.926,-0.241,-85.081,-50.137,4.701
8,CHEMBL1088913,1,-67.160057,-4.3460498,21.460749,-9.6055279,-32.926247,-103.77367,21.459866,-9.6055279,-32.931538,-18.681076,21.461802,-9.6055279,-32.931316,-6.2726068,21.515532,-10.635466,-34.710365,-9.583745,21.455542,-9.6055279,-32.925758,21.0455,7.74,29.7849,-5.4848,-22.1639,61.8297,3,-53.5811,0.651,-6.8932,-2.82,-45.1092,0.3233,32.8888,37.1,0.2905,3.9207,-185.5,25.4512,0.1083,3.1638,-28.7234,1.926,195.993,2.3908,-6.893,-0.265,-0.785,-1.619,-6.893,-2.078,-0.319,-1.019,-27.951,-18.433,0.931,-0.244,-72.28,-46.383,3.075
9,CHEMBL1088913,1,-62.525047,-3.8146524,-9.2305756,-11.289217,-32.955994,-102.33367,-9.2212286,-11.289217,-32.962658,-16.623354,-9.2258482,-11.289217,-32.959988,-6.2032862,-9.1355066,-12.156228,-35.092037,-11.207802,-9.2208586,-11.289217,-32.960762,19.4013,2.9619,31.3406,-4.7515,-21.9024,52.7142,3.456,-45.3759,1.6916,-1.952,-2,-42.3417,0.2182,31.3513,31.73,0.0779,0.3008,-158.65,26.8889,0.2318,0.191,-27.3116,2.0021,183.3233,2.4625,-6.904,-0.266,-0.787,-1.621,-6.904,-1.891,-0.336,-1.064,-26.683,-19.896,0.926,-0.22,-77.284,-46.578,6.76
10,CHEMBL1088913,1,-64.370667,-3.5581877,21.805676,-10.496766,-27.438732,-118.382,21.801043,-10.496766,-27.437605,-16.600847,21.804382,-10.496766,-27.437849,-6.3337855,21.472872,-10.589698,-28.889723,-10.489263,21.809458,-10.496766,-27.441771,23.2231,4.3537,27.0814,-3.798,-14.5695,58.994,3.6793,-50.0724,1.1683,-6.347,-2.643,-42.0426,0.2623,30.8831,33.822,0.2454,2.6935,-169.11,25.077,0.0635,2.0077,-27.1482,1.9351,182.2687,2.3908,-6.444,-0.248,-0.734,-1.513,-6.444,-1.941,-0.329,-1.227,-29.622,-14.692,0.931,-0.193,-66.531,-44.315,10.156
