number,name,Label,E_place,S,E_conf,E_score1,E_refine,S(2),E_conf(2),E_score1(2),E_refine(2),S(3),E_conf(3),E_score1(3),E_refine(3),S(4),E_conf(4),E_score1(4),E_refine(4),S(5),E_conf(5),E_score1(5),Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal
1,CHEMBL1077227,1,-97.545029,-5.5065246,-0.58401603,-10.331836,-35.319286,-113.56036,-0.58464271,-10.331836,-35.318905,-19.786242,-0.58237582,-10.331836,-35.319889,-6.9518113,-0.50335497,-11.280774,-36.382603,-2.9603236,-11.275958,-2.9603236,29.4734,0,38.1501,-2.1851,-20.7978,71.9219,0,-70.8467,1.5598,-0.663,0,-72.5174,0,26.5222,30.194,3.0015,0.6703,-150.97,32.6828,2.9437,0.4897,-36.1162,0,292.8461,1.4167,-5.717,-0.22,-0.651,-1.343,-5.717,-2.662,-0.091,-0.946,-33.269,-4.103,0.28,-0.018,-47.144,-37.372,9.281
2,CHEMBL1078998,1,-58.816116,-6.034698,-3.7700171,-10.796187,-23.838028,-112.39558,-3.7716055,-10.796187,-23.833944,-20.2514,-3.7694108,-10.796187,-23.838537,-6.6415758,-3.7909019,-9.8174715,-24.921034,-3.0236292,-18.551525,-3.0236292,38.5361,0,37.0067,-0.6402,-11.7079,68.903,0,-67.8201,1.5401,-2.2935,0,-67.1471,0.0128,23.6167,27.088,3.002,0.4693,-135.44,32.8142,2.6773,0.3349,-35.8264,0,282.1306,1.0402,-4.697,-0.204,-0.581,-1.136,-4.697,-1.917,-0.16,-1.176,-29.856,-0.43,0.175,-0.061,-38.391,-30.285,0.797
3,CHEMBL1082248,1,-58.311127,-5.6844754,24.62105,-11.997163,-38.870804,-104.04168,24.622347,-11.997163,-38.871281,-19.595106,24.62542,-11.997163,-38.873775,-7.3972006,24.824703,-10.743861,-40.362644,-3.0485957,17.066242,-3.0485957,37.06,0,34.0623,-2.559,-7.2166,75.2832,0,-76.0725,0.4143,-5.2659,0,-72.5037,0.0183,26.8799,27.506,0.2521,0.374,-137.53,31.4919,0.235,0.3355,-32.0625,0.9915,228.9487,1.3735,-7.95,-0.318,-0.93,-1.884,-7.95,-3.938,-0.187,-1.189,-39.351,-5.378,0.238,-0.1,-69.053,-44.729,1.558
4,CHEMBL1083836,1,-62.220886,-6.2157435,89.8899,-11.962382,-39.824932,-111.97341,89.886604,-11.962382,-39.820255,-22.959011,89.889542,-11.962382,-39.824345,-7.8179922,89.885391,-10.526679,-41.380432,-3.0004966,82.827271,-3.0004966,41.1287,11.0461,41.3994,-1.406,-25.4356,77.3668,0,-77.7671,0.2459,-4.1812,0,-75.5446,0.0271,30.19,31.242,0.6889,0.363,-156.21,35.304,0.6849,0.1553,-36.1442,0,293.172,1.4207,-7.007,-0.27,-0.798,-1.646,-7.007,-3.345,0,-1.251,-36.749,-6.674,0.468,-0.041,-62.476,-43.423,9.131
5,CHEMBL1084115,1,-56.523724,-6.0087032,-6.4214883,-10.788877,-23.603832,-107.57193,-6.419395,-10.788877,-23.602667,-20.508213,-6.4214873,-10.788877,-23.603851,-6.6024075,-6.4235873,-9.6265678,-24.473934,-3.0236292,-20.190529,-3.0236292,37.418,0,36.912,-0.8859,-12.4501,72.1745,0,-67.4791,0.9487,0.1169,-0.1457,-69.9473,0.0085,24.0275,27.894,3.575,0.2915,-139.47,32.6683,2.5859,0.2004,-35.4546,0,278.953,1.0402,-4.573,-0.199,-0.565,-1.106,-4.573,-1.955,0,-1.235,-32.178,0.34,0.175,0,-39.503,-31.837,0.218
6,CHEMBL1084116,1,-68.950867,-4.2600484,-15.681361,-8.4530525,-30.084602,-88.117058,-15.687199,-8.4530525,-30.087336,-12.66664,-15.684974,-8.4530525,-30.089548,-6.1690183,-15.710747,-9.3743248,-30.857731,-3.0236292,-16.795591,-3.0236292,33.3312,0,34.9932,-0.8981,-13.8864,54.1508,0,-55.0552,0.5239,-3.326,0,-51.7847,0.0393,18.5214,21.144,2.2499,0.3727,-105.72,26.6055,2.1659,0.3665,-29.1379,0,224.9641,1.0402,-4.583,-0.191,-0.551,-1.097,-4.583,-1.989,0,-0.983,-29.341,-1.934,0.147,0,-38.897,-31.276,1.761
7,CHEMBL1084143,1,-54.896084,-6.6478558,17.201385,-12.248356,-40.917294,-123.90887,17.207781,-12.248356,-40.92244,-21.987164,17.206045,-12.248356,-40.916245,-8.1102571,17.226543,-10.929376,-41.67054,-2.922513,-11.901576,-2.922513,48.3569,0,43.8563,-3.5697,-8.3758,86.1032,0,-87.6569,2.0189,-5.3262,0,-83.7563,0.1365,34.7784,38.432,1.6295,2.0241,-192.16,38.0462,1.5911,1.2365,-40.8738,0.9908,316.3367,1.9246,-7.821,-0.23,-0.745,-1.728,-7.821,-4.943,-0.014,-0.441,-43.053,-5.407,0.601,-0.06,-73.27,-48.46,9.553
8,CHEMBL1084391,1,-70.494476,-5.3450947,15.920421,-10.814331,-23.533751,-112.39419,15.923926,-10.814331,-23.533701,-20.093756,15.920694,-10.814331,-23.534403,-6.5744114,15.911029,-9.5212049,-24.718781,-3.0236292,2.0385165,-3.0236292,38.5672,0,37.858,-0.8785,-12.6091,68.719,0,-64.2686,1.111,-3.3292,0,-62.7525,0.184,26.4414,30.338,3.326,0.5706,-151.69,31.0941,3.0723,0.6831,-34.8494,0,274.7364,1.0839,-4.426,-0.192,-0.547,-1.07,-4.426,-1.78,0,-1.22,-31.988,-0.009,0.174,0,-39.555,-31.997,0.079
9,CHEMBL1084431,1,-67.299393,-7.5971313,7.3983908,-13.382099,-50.004463,-119.68269,7.405736,-13.382099,-50.00993,-21.402903,7.3990231,-13.382099,-50.003235,-8.4447298,7.3756914,-10.93749,-50.820957,-2.7340918,5.5790081,-2.7340918,17.729,15.4119,39.2375,-11.2543,-40.3803,91.6886,3,-84.4984,3.0146,-3.6427,-2.7371,-79.8576,0.1266,37.3244,42.192,0.264,4.6036,-210.96,35.2717,2.7372,3.1521,-41.161,1.8037,295.0617,1.9006,-8.736,-0.23,-0.773,-1.884,-8.736,-4.62,-0.2,-1.2,-42.147,-6.688,0.449,-0.054,-83.655,-48.835,2.136
10,CHEMBL1093087,1,-70.005188,-7.05621,19.240555,-15.318353,-44.622311,-113.85532,19.245066,-15.318353,-44.618542,-21.136574,19.243183,-15.318353,-44.615265,-8.2494602,202.2607,-11.129951,-46.385059,-2.8932431,10.602832,-2.8932431,36.9923,4.2617,43.6091,-5.2312,-22.0007,98.4514,3,-91.7357,1.9352,-3.0879,-2,-88.1549,0.0809,38.3801,39.88,0.3325,1.1674,-199.4,36.0796,1.1626,0.7395,-37.9816,0.9701,290.5776,1.85,-8.809,-0.252,-0.823,-1.934,-8.809,-4.189,-0.132,-1.398,-37.405,-10.512,0.436,-0.079,-76.406,-47.917,6.587
